***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,3,,,,,,Num Repeats:,3,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,33.18,,,,,,System Temp (C):,29.46,,,,,,,
Humidity (%):,45.07,,,,,,Humidity (%):,52.02,,,,,,,
Lamp Indicator:,1132,,,,,,Lamp Indicator:,1099,,,,,,,
Data Date-Time:,2025/08/09T13:40:47,,,,,,Data Date-Time:,2025/08/09T13:22:04,,,,,,,
Total Measurement Time in sec:,2.4265408,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-R210,,,,,,Shift Vector Coefficients:,-5.72686255341989,0.0566949379947153,-0.000136804211203387,,,,,
Serial Number:,734R012,(N/A),,,,,Pixel to Wavelength Coefficients:,1812.09528251196,-0.912948081806683,-0.000238884275033469,,,,,
GUI Version:,3.9.8,Revision:,830,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.0.0,,,,,,Total Time(hh:mm:ss):,N/A,,,,,,,
UUID:,D6:65:30:51:9A:41:0D:28,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Not activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Num Scan:,3

Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.894453969064,0.375147073080434,61165,25784.3333333333
904.808608847648,0.374248360978049,71524,30213.6666666667
910.020793259393,0.372968819571478,81743,34632.3333333333
913.924914998427,0.374483911993052,88693,37446
917.82473682051,0.375737497543349,96017,40421.3333333333
921.720258725642,0.378798065105733,105300,44018
925.611480713823,0.378811245888937,115956,48471
929.498402785054,0.379409153568634,129721,54150.3333333333
933.381024939334,0.380381606605921,145333,60531.6666666667
937.259347176664,0.380814435333107,161102,67032.6666666667
941.133369497043,0.379641984020882,176880,73796.6666666667
945.003091900472,0.375276988139773,190875,80440
948.86851438695,0.376414326431495,204873,86113.3333333333
954.015722275886,0.376605150721164,222646,93542.6666666667
957.871111622812,0.379826042477665,236435,98602
961.722201052788,0.381062233935282,250209,104049.666666667
965.568990565813,0.384714678927872,265026,109288.333333333
969.411480161888,0.385600757403661,277918,114371
973.249669841012,0.388695349518477,291257,119009.333333333
977.083559603186,0.393057119331742,304760,123282.333333333
980.913149448408,0.395098879838562,316097,127268.666666667
984.738439376681,0.395641032241997,326323,131222
988.559429388003,0.397070582408967,334592,134105
993.64739397673,0.399495580823412,344807,137429.666666667
997.458350848501,0.400379618091844,349688,139091.666666667
1001.26500780332,0.398789015039723,353644,141181.333333333
1005.06736484119,0.399826241098657,357116,142227.333333333
1008.86542196211,0.398656399535825,359485,143557
1012.65917916608,0.398018826850914,360943,144351
1016.44863645309,0.39819250164446,363031,145128
1020.23379382316,0.396465424232076,363948,146074.333333333
1024.01465127628,0.396155786545034,364282,146312.666666667
1027.79120881244,0.39630829978754,365769,146858.333333333
1032.81993010096,0.394360418246245,367653,148278.333333333
1036.58645449757,0.393670349522559,369308,149182.666666667
1040.34867897724,0.392104284024486,370049,150022
1044.10660353995,0.39134004665126,372221,151168.333333333
1047.86022818571,0.390613499039748,373567,151969
1051.60955291452,0.390351856860501,375404,152808.333333333
1055.35457772639,0.390903155733582,377310,153389.333333333
1059.0953026213,0.389150048382553,379148,154760
1062.83172759926,0.388603932331415,381319,155842
1066.56385266027,0.388012146103581,384184,157227
1071.53333064858,0.387014883770194,387908,159116
1075.25542257003,0.386120695321974,390607,160553.333333333
1078.97321457454,0.385646235568857,393646,161979.333333333
1082.6867066621,0.385181942673137,396671,163398.666666667
1086.3958988327,0.384477871361151,399870,164983.666666667
1090.10079108636,0.386067821376349,402904,165628
1093.80138342306,0.384417240398394,405606,167373.666666667
1097.49767584282,0.384544524200872,407871,168259
1101.18966834562,0.385630027473859,411381,169283.333333333
1104.87736093148,0.385191252087413,413721,170418.333333333
1108.56075360038,0.384500946675128,415453,171404
1113.46525506588,0.386528466376118,418471,171845
1117.13861459523,0.385666670926712,419674,172681.333333333
1120.80767420763,0.385950125680073,421639,173376.666666667
1124.47243390308,0.387207446714362,423459,173621.666666667
1128.13289368158,0.389602599878234,424228,172980.333333333
1131.78905354313,0.393049224823465,426045,172348
1135.44091348773,0.397150334799121,426478,170901.666666667
1139.08847351537,0.402991853545015,427601,169062.333333333
1142.73173362607,0.408875324742182,428210,167025
1146.37069381982,0.416586629192423,430333,164899
1151.21595198511,0.427689120869405,431572,161199.666666667
1154.84487903931,0.435223550287793,433166,159012.333333333
1158.46950617655,0.443129374650061,435811,157097.333333333
1162.08983339684,0.450482661804235,437511,155062.333333333
1165.70586070019,0.459323316931701,440470,152965.333333333
1169.31758808658,0.46610549164974,443261,151549.333333333
1172.92501555602,0.473924950946028,446330,149875.666666667
1176.52814310851,0.479276720385208,450024,149265.333333333
1180.12697074405,0.487124321362381,453937,147867
1183.72149846264,0.492398669507384,458109,147424.666666667
1188.50751332773,0.499314577093291,464689,147179.666666667
1192.09200790677,0.504076077618032,470015,147243.333333333
1195.67220256885,0.50720751833011,476072,148069.333333333
1199.24809731399,0.507781725119035,482088,149742.333333333
1202.81969214218,0.508567224355234,488677,151514.666666667
