***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,3,,,,,,Num Repeats:,3,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,34.75,,,,,,System Temp (C):,29.46,,,,,,,
Humidity (%):,34.08,,,,,,Humidity (%):,52.02,,,,,,,
Lamp Indicator:,1147,,,,,,Lamp Indicator:,1099,,,,,,,
Data Date-Time:,2025/08/09T14:59:03,,,,,,Data Date-Time:,2025/08/09T13:22:04,,,,,,,
Total Measurement Time in sec:,2.4285204,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-R210,,,,,,Shift Vector Coefficients:,-5.72686255341989,0.0566949379947153,-0.000136804211203387,,,,,
Serial Number:,734R012,(N/A),,,,,Pixel to Wavelength Coefficients:,1812.09528251196,-0.912948081806683,-0.000238884275033469,,,,,
GUI Version:,3.9.8,Revision:,830,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.0.0,,,,,,Total Time(hh:mm:ss):,N/A,,,,,,,
UUID:,D6:65:30:51:9A:41:0D:28,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Not activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Num Scan:,3

Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.894453969064,0.372583238036459,61165,25937
904.808608847648,0.366324298261748,71524,30770
910.020793259393,0.376081543766988,81743,34385
913.924914998427,0.377712362815181,88693,37168.6666666667
917.82473682051,0.377294611780459,96017,40276.6666666667
921.720258725642,0.382046326475918,105300,43690
925.611480713823,0.38308214859766,115956,47996.6666666667
929.498402785054,0.383615987799981,129721,53628.3333333333
933.381024939334,0.391607929365751,145333,58987
937.259347176664,0.389321883078181,161102,65732.3333333333
941.133369497043,0.388454342779313,176880,72314.3333333333
945.003091900472,0.388890218194525,190875,77957.6666666667
948.86851438695,0.389233429293983,204873,83608.6666666667
954.015722275886,0.391340788364094,222646,90422
957.871111622812,0.396117707002999,236435,94971.6666666667
961.722201052788,0.39887657458685,250209,99868
965.568990565813,0.403029430694227,265026,104775.333333333
969.411480161888,0.406995156019344,277918,108873.333333333
973.249669841012,0.409216741988642,291257,113516.666666667
977.083559603186,0.416294560510847,304760,116859.333333333
980.913149448408,0.417770217495101,316097,120795.333333333
984.738439376681,0.420447873524485,326323,123936.666666667
988.559429388003,0.422071555994557,334592,126603
993.64739397673,0.426288910629401,344807,129207.333333333
997.458350848501,0.427975936476486,349688,130528.333333333
1001.26500780332,0.427637176376696,353644,132108
1005.06736484119,0.430198101761927,357116,132620.666666667
1008.86542196211,0.43225492808894,359485,132869.666666667
1012.65917916608,0.432113536881662,360943,133452
1016.44863645309,0.433941172093031,363031,133660.333333333
1020.23379382316,0.434348504140443,363948,133872.333333333
1024.01465127628,0.434840968216616,364282,133843.333333333
1027.79120881244,0.435678811806428,365769,134130.666666667
1032.81993010096,0.434777407427329,367653,135101.666666667
1036.58645449757,0.435651390140125,369308,135437
1040.34867897724,0.434739487036673,370049,135994
1044.10660353995,0.43472006531384,372221,136798.333333333
1047.86022818571,0.435015448502225,373567,137199.666666667
1051.60955291452,0.434670165300518,375404,137984
1055.35457772639,0.434134707734128,377310,138855.666666667
1059.0953026213,0.433308846679093,379148,139797.666666667
1062.83172759926,0.432726918937364,381319,140786.666666667
1066.56385266027,0.432083768576124,384184,142054.666666667
1071.53333064858,0.431475512732842,387908,143632.666666667
1075.25542257003,0.430627679736978,390607,144914.666666667
1078.97321457454,0.429458974024014,393646,146435.666666667
1082.6867066621,0.428568979576925,396671,147863.666666667
1086.3958988327,0.428728667981221,399870,149001.333333333
1090.10079108636,0.428100072324197,402904,150349.333333333
1093.80138342306,0.428833199954241,405606,151102.333333333
1097.49767584282,0.427565408664052,407871,152390.333333333
